질환명,증상,관련질환,진료과목,코드
급성 류마티스성 열,"결절, 비출혈, 열, 발진, 복부 통증, 다발성 관절염, 빈맥","승모판 기능부전, 류마티스 관절염, 성홍열, 상기도 감염, 심근염","응급의학과, 어린이병원",32291
급성 바이러스성 간염,"관절통, 황달, 복부 통증, 오심, 피부 긴장도 저하, 피부소양감, 감기 증상, 근육통, 권태감, 식욕부진, 구토, 피로감","급성 B형 간염, 독성 간염, 전격성 간염, 만성 C형 간염, 간염, 자가면역성 간염, 급성 C형 간염, 급성 A형 간염, 만성 B형 간염","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",31661
급성 방광염,"탁한 소변, 골반 통증, 배뇨 시 통증, 배뇨곤란, 작열감, 긴박뇨, 빈뇨","급성 신우신염, 만성 전립선염, 양성 전립선 비대증, 급성 질염",비뇨의학과,31736
급성 신부전,"경련, 탈수, 소변량 감소, 구토, 산혈증, 무뇨, 쇼크, 저혈량 쇼크, 오심, 전신 부종","처그 스트라우스 증후군, 선천성 심장 질환, 고혈압, 사구체신염, 신우요관암의 전이, 대동맥 협착, 신부전, 급성 간질성 신염, 신세포암종, 전격성 간염, 만성 신부전, 말기 신질환, 요로결석, 신우요관암","신장내과, 신ㆍ췌장이식외과",31971
급성 신우신염,"근육통, 배뇨곤란, 오심, 요통, 오한, 열, 잔뇨감, 두통, 구토, 배뇨 시 통증, 빈뇨","방광요관 역류, 급성 방광염, 요관 협착, 비임균성 요도염, 신우요관 폐색, 임균성 요도염, 신우요관암, 대장균 감염","감염내과, 신장내과, 소아신장과",31737
급성 심근경색증,"구토, 발한, 창백, 불안, 오심, 호흡곤란, 가슴 통증","허혈성 심질환, 협심증, 오래된 심근경색증","심장내과, 심장병원",32111
급성 위장염,"복부 통증, 구토, 설사, 탈수, 열, 두통, 복부팽만감","위막성 대장염, 바이러스성 장염, 세균성 이질, 대장균 감염, 장출혈성 대장균 감염증, 아메바성 이질, 식중독","가정의학과, 소화기내과, 노년내과, 소아외과, 소아내분비대사과, 소아신장과, 소아소화기영양과",31725
급성 중이염,"청력장애, 고름, 이폐색감, 환부의 분비물, 이명, 열, 두통, 귀의 통증","만성 중이염, 삼출성 중이염",이비인후과,32178
급성 질염,"비정상적 질 분비물, 소양감, 배뇨 시 통증, 배뇨곤란, 작열감, 악취","칸디다성 외음질염, 노인성 질염, 트리코모나스증",산부인과,31827
급성 충수염,"식욕부진, 설사, 오심, 복부 통증, 열, 구토",복막염,"소아외과, 대장항문외과",32035
급성 췌장염,"황달, 열, 복부 통증, 회색변, 구토, 복부팽만감, 오심","췌장 전이암, 만성 췌장염, 췌장암, 췌장염","소화기내과, 간담도췌외과",31427
급성골수성백혈병,"멍, 빈혈, 출혈 경향성, 비출혈, 체중감소, 호흡곤란, 피부 긴장도 저하, 창백, 열","호중구감소증, 백혈구 이상, 만성골수백혈병, 백혈병, 만성림프구백혈병, 급성림프모구백혈병","혈액내과, 소아청소년종양혈액과",31779
급성림프모구백혈병,"멍, 혈소판감소, 뼈의 변형, 출혈 경향성, 열, 피로감, 비장비대, 빈혈, 체중감소, 비출혈, 간비대, 잦은 감염","다운 증후군, 모세혈관 확장성 운동실조 증후군, 파타우 증후군, 후천성 면역결핍증, 백혈병, 클라인펠터 증후군, 급성림프모구백혈병, 만성골수백혈병, 급성골수성백혈병, 만성림프구백혈병, 판코니범혈구감소증, 백혈구 이상","혈액내과, 방사선종양학과, 소아청소년종양혈액과",31778
기관 협착,"반복되는 폐렴, 사래걸림, 호흡곤란","폐 전이, 비소세포성 폐암, 소세포성 폐암, 폐암","호흡기내과, 이비인후과",32513
기관지폐 형성이상,"고탄산증, 천식, 흉곽 팽윤, 저산소증, 수유 곤란, 호기의 증가","신생아 호흡곤란증후군, 만성 폐질환",신생아과,31989
기관지확장증,"천명음, 곤봉지, 가래, 기침, 체중감소, 객혈, 빈혈","폐암, 폐렴, 폐결핵, 객혈, 홍역, 백일해, 폐 농양",호흡기내과,31814
기뇌증,"어지러움, 피로감, 두통, 언어장애",잠수병,응급의학과,33866
기능성 위장 장애,"소화불량, 설사, 트림, 복부팽만감, 변비","소화불량, 헬리코박터균 감염",소화기내과,33546
기면증,"수면 마비, 탈력발작, 낮 시간대의 졸음, 입수면기의 환각","뇌전증, 수면 장애, 수면 무호흡증","신경과, 정신건강의학과",31912
기미,반점,악성 흑색종,피부과,32610
기분부전증,"비관주의, 우유부단함, 피부 긴장도 저하, 낮은 자존감, 에너지가 적음",우울증,"정신건강의학과, 소아정신건강의학과",31902
기억상실증,"흥분, 불안, 건망증, 기억장애, 감정 변화, 초조함","저혈당증, 치매, 알츠하이머병, 해리 장애, 경미한 인지장애, 혈관성 치매, 외상성 치매",신경과,32749
기저귀 피부염,"물집, 발진, 피부소양감","농가진, 피부염, 한선염, 기저귀 피부염, 아토피성 피부염, 접촉 피부염, 지루성 피부염, 탈락 피부염",피부과,32467
기저세포 암종,"결절, 피부궤양, 반점",악성 흑색종,"성형외과, 피부과, 피부암센터",32466
기쿠치병,"체중감소, 관절통, 식욕부진, 경부 림프절병증, 발진, 피로감, 열","호지킨 림프종, 비호지킨 림프종, 백혈병, 전신 홍반성 낭창","감염내과, 이비인후과, 류마티스내과",33905
기형종,암 부위별로 다름,선천성 기형,어린이병원,32033
길랑-바레 증후군,"가슴 두근거림, 호흡곤란, 배뇨장애, 다리 통증, 복시, 감각 이상, 삼키기 곤란, 안면마비","대상포진, 위염, 식중독, 폐렴, 상기도 감염",신경과,31904
꽃가루 알레르기,"재채기, 호흡곤란, 눈의 충혈, 기침, 눈꼽","접촉 피부염, 알레르기 비염, 만성 비염, 아토피성 피부염, 약물 알레르기, 음식 알레르기, 알레르기성 결막염",알레르기내과,33702
난관수종,"희발월경, 골반 통증, 불임","여성 불임, 골반 염증성 질환, 성병, 임질, 난소, 난관 이상",산부인과,32732
난독증,읽기 쓰기 능력 부족,"주의력결핍 과잉행동장애, 성인 주의력 결핍 과잉행동장애",정신건강의학과,31901
난산,비정상적인 진통,다태아,산부인과,31957
난소 낭종,"비정상적 질출혈, 골반 통증, 생식기 출혈, 복부 통증, 복부 압박 증상","다낭성 난소 증후군, 난소, 난관 이상, 난소의 양성 종양, 난소암",산부인과,31824
"난소, 난관 이상","여드름, 불임, 생리불순","난소 낭종, 다낭성 난소 증후군, 여성 불임, 난소암",산부인과,31944
난소난관염,"열, 비정상적 질출혈, 복부 통증, 비정상적 질 분비물","복막염, 골반 염증성 질환, 자궁 외 임신, 여성 불임, 난소, 난관 이상, 성병, 임질",산부인과,33444
난소암,"복수, 덩어리가 만져짐, 골반 통증, 생식기 출혈, 복부 통증, 요통, 비정상적 질출혈","난소, 난관 이상, 다낭성 난소 증후군, 난소 낭종, 난소의 양성 종양, 자궁 상피 내 암종, 자궁경부암, 자궁내막암","종양내과, 산부인과",31820
난소의 양성 종양,"복부팽만감, 골반 통증, 빈뇨, 복부 통증, 요통, 배변장애","난소, 난관 이상, 난소암, 다낭성 난소 증후군, 난소 낭종",산부인과,31823
난시,"두통, 눈의 통증, 눈의 충혈, 눈의 피로","익상편, 근시, 약시",안과,32229
난원공 개존증,"피로감, 운동 시 호흡곤란","심실 중격 결손, 뇌졸중, 총동맥간증, 심방 중격 결손, 동맥관 개존증",소아청소년심장과,33492
난청,"청력장애, 이명, 어지러움, 귀의 통증","감각신경성 난청, 삼출성 중이염, 만성 중이염, 노인성 난청, 급성 중이염, 메니에르병, 알포트 증후군",이비인후과,32171
남성 불임,성생활이 힘듦,"클라인펠터 증후군, 칼만 증후군, 잠복고환증, 성병, 뇌하수체 양성 및 악성 신생물, 요도하열",비뇨의학과,32196
납 중독,"복부 통증, 권태감, 식욕부진, 성격의변화, 구토, 빈혈, 두통, 불면증, 경련, 변비, 복부팽만감","용혈빈혈, 발작, 지적장애",가정의학과,33386
낭성 신장 질환,"오심, 옆구리 통증",신장의 신생물,"신장내과, 비뇨의학과, 소아신장과, 소아비뇨의학과",31977
낭종성 폐질환,"호흡기감염, 객혈, 호흡곤란, 기침","폐암, 비소세포성 폐암, 소세포성 폐암, 만성 폐쇄성 폐질환, 폐렴, 폐기종, 폐 농양, 폐결절",호흡기내과,33562
낭포성 히그로마,"삼키기 곤란, 림프 부종, 호흡곤란","선천성 기형, 터너 증후군","성형외과, 소아외과, 어린이병원",31956
내반슬,"O자 다리, 발이 안쪽을 향해 걸음, 양무릎사이 벌어짐, 오리걸음","구루병, 외반슬",소아정형외과,31730
내상과염,"팔의 통증, 관절의 경직",주관절 외상과염,정형외과,31856
내연골종,"병적골절, 감각 이상, 뼈의 변형, 환부 부종","병리적 골절, 골괴사, 이소성 골화증","정형외과, 소아정형외과",31739
내향성 손발톱,"육아조직, 환부 부종, 발적, 환부 통증","당뇨병, 당뇨병성 족부 질환, 무좀","성형외과, 피부과",32474
냉방병,"설사, 권태감, 복부 불편감, 콧물, 코막힘, 재채기, 소화불량","상기도 감염, 만성 피로 증후군",가정의학과,32082
넬슨 증후군,"시력 감소, 두통, 다뇨, 색소 침착, 무월경","뇌하수체의 악성 신생물, 갑상선기능저하증, 뇌하수체 기능 항진, 뇌하수체 기능부전, 뇌하수체 양성 및 악성 신생물, 부신 기능부전, 쿠싱 증후군, 부신 종양, 요붕증","내분비내과, 소아내분비대사과",32153
노로바이러스 장염,"복부 통증, 오심, 두통, 근육통, 권태감, 복부 불편감, 구토, 열, 오한, 설사","식중독, 급성 위장염, 바이러스성 장염","소화기내과, 소아소화기영양과",33451
노안,"시야장애, 눈의 피로, 두통","근시, 난시","안과, 소아안과",32231
노인성 난청,청력장애,"감각신경성 난청, 노화",이비인후과,32446
노인성 질염,"소양감, 비정상적 질 분비물, 작열감, 질의 건조함",폐경,산부인과,31939
노인성 척추후만증,"요통, 굽은 등, 보행이상","척추병증, 외상에 의한 척추 손상, 퇴행성 척추 장애","신경외과, 정형외과",31861
노카르디아증,"체중감소, 기침, 객혈, 열","뇌농양, 폐렴, 박테리아성 뇌수막염","감염내과, 소아감염과",32751
노화,"눈가 및 이마 주름, 골다공증, 이마의 주름, 코 옆과 입꼬리 주름","폐경, 폐경기 및 여성의 갱년기 상태, 골다공증",노년내과,31314
노화된 얼굴,"눈가 및 이마 주름, 코 옆과 입꼬리 주름, 볼과 눈주위 움푹 꺼짐, 볼이 처짐, 아래 눈꺼풀이 불룩함, 눈꺼풀 처짐증, 이중턱","악성 흑색종, 비립종, 광선 각화증, 한관종",성형외과,31766
녹내장,"눈의 통증, 시력 감소, 두통, 중심시력감소, 암점, 주변시야손상","포도막염, 당뇨망막병증, 망막 정맥 폐쇄",안과,31152
농가진,"설사, 장액성 분비물, 물집, 고름, 딱지","아토피성 피부염, 접촉 피부염, 지루성 피부염, 탈락 피부염, 사면발이증, 천포창, 옴, 피부건조증, 피부염, 기저귀 피부염","성형외과, 피부과",32519
농흉,"화농성 객담, 빈맥, 흉부압박감, 마찰음, 호흡곤란, 빈호흡, 가슴 답답, 기침, 가슴 통증","폐결핵, 폐렴, 공기가슴증(기흉)",호흡기내과,32195
뇌 동정맥 기형,"뇌전증 발작, 편두통, 두통, 뇌출혈, 박동성 통증","뇌경색, 자발성 두개강 내 출혈, 뇌졸중","신경외과, 소아신경외과",30516
뇌경색,"의식 변화, 언어장애, 어지러움, 반신마비, 시야장애","일과성 뇌허혈증, 뇌졸중","신경과, 신경외과, 재활의학과, 정신건강의학과, 소아신경과",31996
뇌농양,"구토, 오심, 열, 성격의변화, 두통, 경련","급성 중이염, 심내막염, 부비동염, 뇌종양, 바이러스성 뇌수막염, 양성 뇌종양, 박테리아성 뇌수막염, 만성 중이염","감염내과, 신경외과",33710
뇌동맥 폐쇄,"경련, 편측 사지의 감각소실, 시야장애, 언어장애, 감각 이상, 혼수, 의식 저하, 시력 감소, 무의지증, 운동 실어증","방광의 신경근육 기능 장애, 뇌경색, 뇌졸중","신경과, 신경외과",31752
뇌동맥류,"구토, 두통, 오심, 뇌전증 발작, 안구내 출혈, 의식 변화","자발성 두개강 내 출혈, 뇌동맥 폐쇄, 동맥류","영상의학과, 신경외과, 신경중재클리닉",30503
뇌사,"무의식, 무호흡, 동공산대, 호르몬변화, 반사 이상","부정맥, 뇌종양, 양성 뇌종양, 뇌졸중, 외상에 의한 뇌 손상, 고혈압, 요붕증, 저체온증","신경과, 신경외과",32653
뇌성 마비,"근긴장의 이상, 반사 이상, 뇌전증 발작, 인지장애, 보행이상","바이러스성 뇌수막염, 운동신경 질환, 보행 운동 장애","소아신경과, 소아재활의학과, 소아정형외과",31868
뇌염,"기운없음, 오한, 시력 감소, 열, 방향감각 상실, 의식 저하, 경부 강직, 정신 혼미, 구토, 두통, 경련","박테리아성 뇌수막염, 일본 뇌염, 바이러스성 뇌수막염","신경과, 소아신경과",32162
뇌전증,"뇌전증 발작, 의식 저하, 눈꺼풀의 떨림, 온몸이 떨림, 경련, 손떨림","뇌종양, 양성 뇌종양, 저칼슘혈증, 선천성 기형, 외상성 경막하 출혈, 뇌경색, 발작, 저혈당증, 뇌졸중, 뇌 동정맥 기형","신경과, 신경외과",30519
뇌졸중,"시력 감소, 복시, 어지러움, 운동장애, 발음 이상, 반신마비, 두통, 시야장애, 언어장애, 삼키기 곤란","뇌경색, 뇌출혈, 고혈압, 협심증, 급성 심근경색증","신경과, 신경외과, 소아신경과, 소아신경외과",30518
뇌종양,"운동장애, 오심, 감각 이상, 구토, 두통, 뇌전증 발작","양성 뇌종양, 신경종, 뇌하수체의 악성 신생물, 뇌하수체 양성 및 악성 신생물","종양내과, 방사선종양학과, 소아청소년종양혈액과, 신경과, 신경외과, 소아내분비대사과, 소아신경과, 암병원",30490
